ds,y
2023-06-07,237
2023-06-06,278
2023-06-05,300
2023-06-04,183
2023-06-03,226
2023-06-02,287
2023-06-01,248
2023-05-31,253
2023-05-30,293
2023-05-29,290
2023-05-28,209
2023-05-27,224
2023-05-26,233
2023-05-25,211
2023-05-24,252
2023-05-23,284
2023-05-22,232
2023-05-21,209
2023-05-20,235
2023-05-19,257
2023-05-18,240
2023-05-17,264
2023-05-16,250
2023-05-15,276
2023-05-14,209
2023-05-13,226
2023-05-12,263
2023-05-11,234
2023-05-10,271
2023-05-09,273
2023-05-08,302
2023-05-07,195
2023-05-06,211
2023-05-05,243
2023-05-04,262
2023-05-03,244
2023-05-02,257
2023-05-01,301
2023-04-30,206
2023-04-29,211
2023-04-28,286
2023-04-27,277
2023-04-26,265
2023-04-25,261
2023-04-24,294
2023-04-23,217
2023-04-22,203
2023-04-21,273
2023-04-20,230
2023-04-19,280
2023-04-18,275
2023-04-17,310
2023-04-16,203
2023-04-15,217
2023-04-14,267
2023-04-13,279
2023-04-12,258
2023-04-11,280
2023-04-10,274
2023-04-09,211
2023-04-08,220
2023-04-07,246
2023-04-06,249
2023-04-05,209
2023-04-04,255
2023-04-03,279
2023-04-02,201
2023-04-01,200
2023-03-31,238
2023-03-30,275
2023-03-29,255
2023-03-28,270
2023-03-27,268
2023-03-26,215
2023-03-25,207
2023-03-24,246
2023-03-23,264
2023-03-22,256
2023-03-21,252
2023-03-20,272
2023-03-19,205
2023-03-18,214
2023-03-17,253
2023-03-16,241
2023-03-15,253
2023-03-14,253
2023-03-13,288
2023-03-12,189
2023-03-11,222
2023-03-10,234
2023-03-09,262
2023-03-08,253
2023-03-07,279
2023-03-06,290
2023-03-05,199
2023-03-03,251
2023-03-02,263
2023-03-01,242
2023-02-28,269
2023-02-27,277
2023-02-26,226
2023-02-25,192
2023-02-24,232
2023-02-23,225
2023-02-22,249
2023-02-21,243
2023-02-20,300
2023-02-19,207
2023-02-18,205
2023-02-17,234
2023-02-16,240
2023-02-15,239
2023-02-14,242
2023-02-13,278
2023-02-12,197
2023-02-11,215
2023-02-10,257
2023-02-08,247
2023-02-07,247
2023-02-06,262
2023-02-05,185
2023-02-04,160
2023-02-03,186
2023-02-02,229
2023-02-01,217
2023-01-31,220
2023-01-30,218
2023-01-29,156
2023-01-28,201
2023-01-27,230
2023-01-26,196
2023-01-25,214
2023-01-24,250
2023-01-23,285
2023-01-22,200
2023-01-21,199
2023-01-20,209
2023-01-19,233
2023-01-18,235
2023-01-17,235
2023-01-16,273
2023-01-15,193
2023-01-14,199
2023-01-13,202
2023-01-12,207
2023-01-11,237
2023-01-10,253
2023-01-09,249
2023-01-08,200
2023-01-07,196
2023-01-06,240
2023-01-05,239
2023-01-04,239
2023-01-03,301
2023-01-02,269
2023-01-01,187
2022-12-31,169
2022-12-30,244
2022-12-29,261
2022-12-28,276
2022-12-27,245
2022-12-26,210
2022-12-25,184
2022-12-24,170
2022-12-23,195
2022-12-22,225
2022-12-21,244
2022-12-20,233
2022-12-18,198
2022-12-17,205
2022-12-16,229
2022-12-15,213
2022-12-14,253
2022-12-13,237
2022-12-12,270
2022-12-11,194
2022-12-10,184
2022-12-09,278
2022-12-08,272
2022-12-07,256
2022-12-06,268
2022-12-05,284
2022-12-04,186
2022-12-03,203
2022-12-02,271
2022-12-01,219
2022-11-30,273
2022-11-29,247
2022-11-28,272
2022-11-27,206
2022-11-26,217
2022-11-25,252
2022-11-24,250
2022-11-23,238
2022-11-22,256
2022-11-21,264
2022-11-20,229
2022-11-19,197
2022-11-18,256
2022-11-17,221
2022-11-16,218
2022-11-15,259
2022-11-14,289
2022-11-13,213
2022-11-12,193
2022-11-11,246
2022-11-10,263
2022-11-09,273
2022-11-08,248
2022-11-07,268
2022-11-06,220
2022-11-05,219
2022-11-04,256
2022-11-03,253
2022-11-01,230
2022-10-31,250
2022-10-30,200
2022-10-29,220
2022-10-28,234
2022-10-27,264
2022-10-26,261
2022-10-25,261
2022-10-24,281
2022-10-23,226
2022-10-22,222
2022-10-21,246
2022-10-20,248
2022-10-19,240
2022-10-18,254
2022-10-17,303
2022-10-16,234
2022-10-15,223
2022-10-14,300
2022-10-13,263
2022-10-12,274
2022-10-11,271
2022-10-10,225
2022-10-09,206
2022-10-08,205
2022-10-07,277
2022-10-06,255
2022-10-05,254
2022-10-04,246
2022-10-03,262
2022-10-02,201
2022-10-01,232
2022-09-30,288
2022-09-29,232
2022-09-28,250
2022-09-27,285
2022-09-26,291
2022-09-25,219
2022-09-24,219
2022-09-23,269
2022-09-22,224
2022-09-21,262
2022-09-20,249
2022-09-19,245
2022-09-18,180
2022-09-17,208
2022-09-16,246
2022-09-15,247
2022-09-14,261
2022-09-12,295
2022-09-11,220
2022-09-10,216
2022-09-08,269
2022-09-07,277
2022-09-06,298
2022-09-05,243
2022-09-04,212
2022-09-03,225
2022-09-02,266
2022-09-01,265
2022-08-31,248
2022-08-30,222
2022-08-29,281
2022-08-28,215
2022-08-27,226
2022-08-26,261
2022-08-25,244
2022-08-24,249
2022-08-23,247
2022-08-22,289
2022-08-21,218
2022-08-20,204
2022-08-19,251
2022-08-18,268
2022-08-17,281
2022-08-16,286
2022-08-15,282
2022-08-14,221
2022-08-13,199
2022-08-12,271
2022-08-11,260
2022-08-10,260
2022-08-09,248
2022-08-08,261
2022-08-07,228
2022-08-06,216
2022-08-05,233
2022-08-04,265
2022-08-03,269
2022-08-02,300
2022-08-01,283
2022-07-31,195
2022-07-30,219
2022-07-29,262
2022-07-28,268
2022-07-27,267
2022-07-26,259
2022-07-25,277
2022-07-24,205
2022-07-23,194
2022-07-22,244
2022-07-21,230
2022-07-20,259
2022-07-19,254
2022-07-18,285
2022-07-17,207
2022-07-16,222
2022-07-15,275
2022-07-14,277
2022-07-13,271
2022-07-12,267
2022-07-11,291
2022-07-10,256
2022-07-09,203
2022-07-08,287
2022-07-07,265
2022-07-06,274
2022-07-05,272
2022-07-04,302
2022-07-03,224
2022-07-02,232
2022-07-01,255
2022-06-30,278
2022-06-29,255
2022-06-28,287
2022-06-27,281
2022-06-26,204
2022-06-25,200
2022-06-24,243
2022-06-23,254
2022-06-22,246
2022-06-21,276
2022-06-20,288
2022-06-19,221
2022-06-18,220
2022-06-17,236
2022-06-16,258
2022-06-15,261
2022-06-14,272
2022-06-13,283
2022-06-12,229
2022-06-11,193
2022-06-10,253
2022-06-09,284
2022-06-08,278
2022-06-07,276
2022-06-06,259
2022-06-05,186
2022-06-04,212
2022-06-03,274
2022-06-02,267
2022-06-01,242
2022-05-31,290
2022-05-30,317
2022-05-29,222
2022-05-28,228
2022-05-27,251
2022-05-26,240
2022-05-25,261
2022-05-24,279
2022-05-23,242
2022-05-22,218
2022-05-21,173
2022-05-20,262
2022-05-19,250
2022-05-18,264
2022-05-17,271
2022-05-16,301
2022-05-15,247
2022-05-14,217
2022-05-13,246
2022-05-12,267
2022-05-10,269
2022-05-09,282
2022-05-08,195
2022-05-07,190
2022-05-06,287
2022-05-05,267
2022-05-04,280
2022-05-03,256
2022-05-02,285
2022-05-01,189
2022-04-30,199
2022-04-29,257
2022-04-28,228
2022-04-27,237
2022-04-26,270
2022-04-25,276
2022-04-24,227
2022-04-23,227
2022-04-22,241
2022-04-21,228
2022-04-20,235
2022-04-19,236
2022-04-18,226
2022-04-17,174
2022-04-16,174
2022-04-15,222
2022-04-14,282
2022-04-13,272
2022-04-12,257
2022-04-11,261
2022-04-10,203
2022-04-09,220
2022-04-08,298
2022-04-07,266
2022-04-06,250
2022-04-05,258
2022-04-04,289
2022-04-03,205
2022-04-02,210
2022-04-01,257
2022-03-31,248
2022-03-30,253
2022-03-29,237
2022-03-28,265
2022-03-27,213
2022-03-26,225
2022-03-25,259
2022-03-24,227
2022-03-23,234
2022-03-22,241
2022-03-21,256
2022-03-20,218
2022-03-19,186
2022-03-18,236
2022-03-17,245
2022-03-16,239
2022-03-15,238
2022-03-14,256
2022-03-13,187
2022-03-12,217
2022-03-11,246
2022-03-10,253
2022-03-09,239
2022-03-08,242
2022-03-07,284
2022-03-06,208
2022-03-05,205
2022-03-04,207
2022-03-03,235
2022-03-02,210
2022-03-01,235
2022-02-28,216
2022-02-27,196
2022-02-26,203
2022-02-25,212
2022-02-24,237
2022-02-23,259
2022-02-22,209
2022-02-21,259
2022-02-20,175
2022-02-19,178
2022-02-18,204
2022-02-17,213
2022-02-16,223
2022-02-15,218
2022-02-14,237
2022-02-13,172
2022-02-12,195
2022-02-11,234
2022-02-10,232
2022-02-09,222
2022-02-08,231
2022-02-07,217
