Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission,ds,Total Pod TBS,Total Vertical TBS,Stretcher Overflow
05/24/23,20,9,151,4,72,13,223,1,33,0,28,11,28,104,3,3,26,3,6,4,54,19,2,17,0,18,4,10,2,3,7,0,29,9,6,6,13,10,4,0,2,1,0,6,14,8,2023-05-24 20:00:00,9,23,3
05/24/23,21,8,159,3,75,11,234,4,37,0,29,12,28,105,3,3,26,3,6,4,53,18,2,17,3,18,4,11,2,1,8,0,30,9,7,6,10,9,2,0,4,1,1,7,15,8,2023-05-24 21:00:00,12,20,3
05/24/23,22,3,162,2,77,5,239,0,37,0,33,15,29,109,2,2,26,3,3,4,56,20,3,18,2,18,4,8,3,0,5,0,32,11,8,8,13,12,2,0,6,1,0,6,15,10,2023-05-24 22:00:00,11,25,2
05/24/23,23,8,170,1,78,9,248,3,40,0,36,22,25,108,2,2,26,4,2,5,54,20,3,17,1,17,2,8,3,0,1,0,32,13,8,7,12,10,2,0,5,1,0,6,15,11,2023-05-24 23:00:00,8,25,2
05/24/23,24,2,172,2,80,4,252,3,43,0,40,24,27,99,2,2,26,4,3,4,53,20,1,16,1,17,0,8,3,0,4,0,25,12,8,6,11,11,3,0,3,1,0,5,15,12,2023-05-25 00:00:00,4,26,2
05/25/23,1,1,1,2,2,3,3,0,0,0,0,0,27,93,0,0,1,0,3,5,52,19,1,16,2,17,0,7,3,0,2,0,21,8,8,4,11,10,3,0,3,0,1,7,15,12,2023-05-25 01:00:00,3,21,0
05/25/23,2,2,3,2,4,4,7,0,0,0,3,2,28,90,0,0,2,0,3,5,48,17,2,15,1,16,0,5,4,0,3,0,22,6,9,5,11,11,3,0,5,0,1,5,15,12,2023-05-25 02:00:00,3,20,0
05/25/23,3,1,4,0,4,1,8,0,0,0,4,2,29,87,0,0,2,0,3,4,47,16,1,15,1,16,0,6,3,0,4,0,20,4,10,5,12,12,3,0,5,0,1,2,16,13,2023-05-25 03:00:00,2,19,0
05/25/23,4,1,5,0,4,1,9,0,0,0,5,2,30,85,0,0,2,0,3,3,47,16,0,15,0,16,0,8,3,0,2,0,19,1,13,5,12,11,3,0,6,0,2,5,16,13,2023-05-25 04:00:00,0,15,0
05/25/23,5,1,6,0,4,1,10,1,1,0,6,2,31,85,0,0,2,0,3,3,48,17,1,15,0,16,0,8,4,0,3,0,18,1,13,6,7,5,1,0,6,0,2,5,16,13,2023-05-25 05:00:00,1,7,0
05/25/23,6,3,9,0,4,3,13,2,3,0,8,2,33,82,0,0,2,0,3,3,49,17,1,16,0,16,0,9,2,0,2,0,14,0,10,6,4,0,0,0,6,1,2,7,16,13,2023-05-25 06:00:00,1,0,0
05/25/23,7,1,10,2,6,3,16,1,4,0,8,2,33,87,0,0,2,0,3,4,42,13,0,16,1,13,0,6,1,0,2,7,18,0,12,7,2,1,1,0,9,2,2,5,16,13,2023-05-25 07:00:00,1,2,7
05/25/23,8,7,17,7,13,14,30,1,5,0,8,3,31,84,0,0,3,0,3,4,39,12,0,16,1,11,0,7,1,0,2,7,18,2,12,4,9,9,1,0,9,2,2,6,16,13,2023-05-25 08:00:00,1,12,7
05/25/23,9,6,23,8,21,14,44,1,6,0,8,3,31,97,0,0,4,0,3,5,41,13,1,15,0,13,1,9,1,0,4,6,29,2,11,3,7,7,1,0,8,2,2,5,16,13,2023-05-25 09:00:00,2,10,6
05/25/23,10,6,29,5,26,11,55,2,8,0,11,5,31,93,0,0,5,0,1,3,40,12,0,15,0,13,0,9,1,0,5,5,29,2,12,9,6,5,1,0,10,2,2,2,16,13,2023-05-25 10:00:00,0,8,5
05/25/23,11,5,34,11,37,16,71,2,10,0,14,7,32,92,0,0,8,0,5,3,37,11,0,14,0,12,1,6,1,1,5,5,30,0,13,8,6,6,5,0,10,2,2,2,17,13,2023-05-25 11:00:00,1,11,5
05/25/23,12,8,42,4,41,12,83,3,13,0,16,10,30,92,0,0,8,1,6,3,40,13,1,14,0,13,1,5,0,1,5,3,33,0,14,10,7,7,3,0,6,1,1,2,13,11,2023-05-25 12:00:00,2,10,3
05/25/23,13,5,47,8,49,13,96,0,13,1,17,11,29,88,0,0,10,2,7,3,38,13,0,11,0,14,0,2,0,1,3,0,34,3,11,9,3,3,3,0,2,1,1,4,13,11,2023-05-25 13:00:00,0,9,0
05/25/23,14,9,56,8,57,17,113,3,16,0,18,13,29,85,0,0,13,4,8,3,39,14,1,11,2,14,0,6,0,1,3,0,29,5,10,7,2,2,4,0,1,1,1,3,14,12,2023-05-25 14:00:00,3,11,0
05/25/23,15,6,62,4,61,10,123,1,17,0,18,15,27,84,0,0,14,5,7,3,41,15,1,11,0,15,1,9,0,2,6,0,27,8,7,8,4,4,2,0,3,1,0,4,13,11,2023-05-25 15:00:00,2,14,0
05/25/23,16,9,71,3,64,12,135,4,21,0,22,18,27,82,0,0,16,8,6,2,45,16,1,13,2,16,3,8,0,0,3,0,21,3,7,8,5,5,1,0,5,0,0,4,14,11,2023-05-25 16:00:00,6,9,0
05/25/23,17,11,82,6,70,17,152,3,24,0,29,20,31,86,1,1,16,8,4,3,49,18,3,15,3,16,2,4,0,0,5,0,19,1,6,5,4,0,1,0,4,0,0,3,14,10,2023-05-25 17:00:00,9,2,1
05/25/23,18,7,89,4,74,11,163,2,26,0,30,23,29,88,0,0,16,8,1,5,50,19,3,14,3,17,2,4,0,1,2,0,19,2,7,6,9,5,0,0,6,0,0,4,14,10,2023-05-25 18:00:00,8,7,0
05/25/23,19,5,94,2,76,7,170,3,29,0,30,25,25,83,0,0,16,8,0,4,50,18,1,14,1,18,2,6,1,3,1,0,17,1,5,8,9,2,0,0,3,0,1,2,12,8,2023-05-25 19:00:00,4,3,0
