ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,yhat6,yhat7,yhat8,yhat9,yhat10,yhat11,yhat12,yhat1 20.0%,yhat2 20.0%,yhat3 20.0%,yhat4 20.0%,yhat5 20.0%,yhat6 20.0%,yhat7 20.0%,yhat8 20.0%,yhat9 20.0%,yhat10 20.0%,yhat11 20.0%,yhat12 20.0%,yhat1 80.0%,yhat2 80.0%,yhat3 80.0%,yhat4 80.0%,yhat5 80.0%,yhat6 80.0%,yhat7 80.0%,yhat8 80.0%,yhat9 80.0%,yhat10 80.0%,yhat11 80.0%,yhat12 80.0%,ar1,ar2,ar3,ar4,ar5,ar6,ar7,ar8,ar9,ar10,ar11,ar12,trend,season_yearly,season_weekly,events_additive,event_Boxing Day,event_Boxing Day (Observed),event_Canada Day,event_Canada Day (Observed),event_Christmas Day,event_Christmas Day (Observed),event_Civic Holiday,event_Easter Monday,event_Family Day,event_Good Friday,event_Labour Day,event_New Year's Day,event_New Year's Day (Observed),event_Thanksgiving,event_Victoria Day
2023-03-08,,249.76475524902344,247.53431701660156,,,,,,,,,,,238.9569091796875,236.60121154785156,,,,,,,,,,,258.41595458984375,257.03521728515625,,,,,,,,,,,55.41615676879883,53.18572235107422,,,,,,,,,,,182.41757202148438,5.725876808166504,6.205142021179199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09,,,246.38360595703125,244.82861328125,,,,,,,,,,,234.69674682617188,233.54119873046875,,,,,,,,,,,256.00189208984375,255.0130615234375,,,,,,,,,,,54.48043441772461,52.92544174194336,,,,,,,,,,182.36532592773438,5.527348041534424,4.010498523712158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-10,,,,249.34352111816406,247.86073303222656,,,,,,,,,,,238.0105438232422,236.94326782226562,,,,,,,,,,,258.56097412109375,257.54296875,,,,,,,,,,,54.94015884399414,53.45735549926758,,,,,,,,,182.31304931640625,5.2815141677856445,6.80880069732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-11,,,,,212.18063354492188,210.6569061279297,,,,,,,,,,,202.13571166992188,200.90289306640625,,,,,,,,,,,220.25918579101562,219.33152770996094,,,,,,,,,,,54.66640853881836,53.1426887512207,,,,,,,,182.26080322265625,4.99022912979126,-29.736814498901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-12,,,,,,209.59945678710938,207.8238525390625,,,,,,,,,,,199.11814880371094,197.7364501953125,,,,,,,,,,,218.34664916992188,217.1807098388672,,,,,,,,,,,54.40046310424805,52.62486267089844,,,,,,,182.2085418701172,4.655691623687744,-31.665225982666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,,,,,,,276.022216796875,274.2298583984375,,,,,,,,,,,263.6395263671875,262.25250244140625,,,,,,,,,,,286.54052734375,285.24908447265625,,,,,,,,,,,57.14988708496094,55.35756301879883,,,,,,182.15626525878906,4.280416965484619,32.435630798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-14,,,,,,,,254.49085998535156,252.2517852783203,,,,,,,,,,,243.55845642089844,241.419677734375,,,,,,,,,,,264.3125,262.79583740234375,,,,,,,,,,,56.57763671875,54.33855438232422,,,,,182.10403442382812,3.8672215938568115,11.941967964172363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,,,,,,,,,246.20419311523438,244.43917846679688,,,,,,,,,,,235.43136596679688,233.68069458007812,,,,,,,,,,,254.8612518310547,253.7635040283203,,,,,,,,,,,54.528079986572266,52.763065338134766,,,,182.05177307128906,3.4192023277282715,6.205142021179199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,,,,,,,,,,243.3415069580078,241.8492431640625,,,,,,,,,,,232.2690887451172,231.13787841796875,,,,,,,,,,,252.27027893066406,251.42581176757812,,,,,,,,,,,54.39181137084961,52.89954376220703,,,181.99951171875,2.939702033996582,4.010498523712158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,,,,,,,,,,,245.6386260986328,244.16452026367188,,,,,,,,,,,234.52130126953125,233.4093475341797,,,,,,,,,,,254.71786499023438,253.7435760498047,,,,,,,,,,,54.45029067993164,52.97617721557617,,181.947265625,2.432286500930786,6.80880069732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
