ds,y,yhat1,yhat2,yhat3,yhat4,yhat5,yhat6,yhat7,yhat8,yhat9,yhat10,yhat11,yhat12,yhat1 20.0%,yhat2 20.0%,yhat3 20.0%,yhat4 20.0%,yhat5 20.0%,yhat6 20.0%,yhat7 20.0%,yhat8 20.0%,yhat9 20.0%,yhat10 20.0%,yhat11 20.0%,yhat12 20.0%,yhat1 80.0%,yhat2 80.0%,yhat3 80.0%,yhat4 80.0%,yhat5 80.0%,yhat6 80.0%,yhat7 80.0%,yhat8 80.0%,yhat9 80.0%,yhat10 80.0%,yhat11 80.0%,yhat12 80.0%,ar1,ar2,ar3,ar4,ar5,ar6,ar7,ar8,ar9,ar10,ar11,ar12,trend,season_yearly,season_weekly,events_additive,event_Boxing Day,event_Boxing Day (Observed),event_Canada Day,event_Canada Day (Observed),event_Christmas Day,event_Christmas Day (Observed),event_Civic Holiday,event_Easter Monday,event_Family Day,event_Good Friday,event_Labour Day,event_New Year's Day,event_New Year's Day (Observed),event_Thanksgiving,event_Victoria Day,future_regressors_additive,future_regressor_cloudcover,future_regressor_dew,future_regressor_feelslike,future_regressor_feelslikemax,future_regressor_feelslikemin,future_regressor_humidity,future_regressor_moonphase,future_regressor_precip,future_regressor_precipcover,future_regressor_sealevelpressure,future_regressor_snow,future_regressor_snowdepth,future_regressor_solarenergy,future_regressor_solarradiation,future_regressor_temp,future_regressor_tempmax,future_regressor_tempmin,future_regressor_uvindex,future_regressor_visibility,future_regressor_windgust,future_regressor_windspeed
2023-03-30,,218.55029296875,214.5233154296875,213.6296844482422,212.9700164794922,215.55296325683594,220.62428283691406,223.93356323242188,216.6750030517578,213.85372924804688,215.1264190673828,210.59811401367188,214.71438598632812,206.13975524902344,202.5093994140625,201.69700622558594,202.01052856445312,204.12973022460938,207.99961853027344,210.30905151367188,205.1536865234375,202.884765625,203.164306640625,200.04397583007812,202.90390014648438,224.53785705566406,221.68838500976562,221.21649169921875,221.00509643554688,222.65655517578125,225.7243194580078,228.2305450439453,223.32223510742188,221.74241638183594,222.82398986816406,219.48069763183594,222.29818725585938,58.8769416809082,54.84996032714844,53.956329345703125,53.29665756225586,55.87960433959961,60.950923919677734,64.26020050048828,57.00164031982422,54.18037414550781,55.453060150146484,50.92475509643555,55.04102325439453,144.698486328125,-12.543705940246582,7.094995021820068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4235782623291,-0.6456693410873413,-20.971630096435547,32.43747329711914,-10.161465644836426,7.993929386138916,8.074078559875488,-0.5072934627532959,0.0,0.0,-1.4091182947158813,0.0,-0.8204079270362854,-0.9959967732429504,-15.836490631103516,12.806035995483398,5.085387706756592,-0.03470897302031517,10.908130645751953,0.25810444355010986,-2.9813973903656006,-2.7753827571868896
2023-03-31,,,221.2490692138672,217.76480102539062,217.2077178955078,214.766845703125,217.2964630126953,222.5876922607422,225.97821044921875,219.55787658691406,215.7782745361328,217.6866912841797,213.2884521484375,,209.28121948242188,207.1844940185547,207.11746215820312,205.38259887695312,206.87820434570312,210.62001037597656,213.20201110839844,207.99862670898438,204.76589965820312,206.0919952392578,203.41905212402344,,229.33551025390625,226.7580108642578,226.20449829101562,224.67869567871094,226.2506103515625,230.17514038085938,232.76898193359375,228.45936584472656,225.7480010986328,227.0450897216797,224.72454833984375,,59.37794876098633,55.8936882019043,55.336605072021484,52.89573287963867,55.425350189208984,60.71657180786133,64.10710144042969,57.686771392822266,53.90716552734375,55.815574645996094,51.4173469543457,144.70416259765625,-13.503175735473633,6.941488742828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72863006591797,-0.9625378847122192,-28.453968048095703,37.3439826965332,-11.716224670410156,8.966875076293945,12.163546562194824,-0.5597720742225647,-1.8172661066055298,-3.3098533153533936,-1.3405896425247192,-0.7528914213180542,-1.1280609369277954,-0.624433159828186,-10.032615661621094,15.39311408996582,6.356734275817871,-0.04244035854935646,7.791522026062012,0.1872522383928299,-1.7300502061843872,-2.0036909580230713
2023-04-01,,,,190.83724975585938,187.8739471435547,186.38446044921875,183.218994140625,186.1639404296875,191.48216247558594,194.7318115234375,188.1920166015625,185.58755493164062,187.37179565429688,,,178.62100219726562,176.49893188476562,175.69760131835938,171.90777587890625,174.20608520507812,178.56874084472656,181.19711303710938,175.92669677734375,174.19337463378906,175.72494506835938,,,198.65972900390625,196.78269958496094,195.95294189453125,193.88076782226562,196.01998901367188,199.9183349609375,201.90155029296875,197.24057006835938,195.49057006835938,197.04356384277344,,,60.16554641723633,57.20224380493164,55.71275329589844,52.54728698730469,55.49223709106445,60.810455322265625,64.06011962890625,57.52030944824219,54.915855407714844,56.7000732421875,144.70985412597656,-14.407861709594727,-29.45224952697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.821964263916016,-1.0818606615066528,-37.09554672241211,47.15700149536133,-17.93526268005371,10.518328666687012,14.86364459991455,-0.6122507452964783,-1.490566611289978,-2.57462477684021,-0.14562316238880157,0.0,-0.8409181237220764,-0.5521847009658813,-8.8193359375,19.59711456298828,8.475646018981934,-0.05379068851470947,6.233217716217041,0.19400008022785187,-2.84702467918396,-3.1679978370666504
2023-04-02,,,,,173.23074340820312,171.01058959960938,168.72061157226562,166.645751953125,169.62306213378906,174.0415802001953,176.23004150390625,170.12693786621094,167.4207763671875,,,,164.94964599609375,163.73504638671875,160.87643432617188,159.7147216796875,162.1087646484375,165.98121643066406,167.12789916992188,162.56732177734375,160.72816467285156,,,,180.40557861328125,180.06063842773438,178.35916137695312,176.86758422851562,178.81600952148438,180.99879455566406,182.26919555664062,178.14674377441406,176.75555419921875,,,,60.32206344604492,58.101905822753906,55.81193923950195,53.73707962036133,56.714385986328125,61.13290023803711,63.32136154174805,57.21826171875,54.51209259033203,144.7155303955078,-15.254923820495605,-33.60590362548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.053972244262695,-0.28372326493263245,-21.18239974975586,30.529386520385742,-9.939355850219727,7.415421485900879,6.815780162811279,-0.6822222471237183,0.0,0.0,-1.0750415325164795,0.0,0.0,-1.1920998096466064,-18.81647491455078,13.776189804077148,5.932952404022217,-0.03882141411304474,10.908130645751953,0.32389578223228455,-2.662261962890625,-2.7753827571868896
2023-04-03,,,,,,245.5378875732422,241.90391540527344,240.67918395996094,238.59246826171875,241.06175231933594,244.51535034179688,247.72886657714844,242.70179748535156,,,,,233.94163513183594,230.96414184570312,230.05718994140625,228.15293884277344,230.03387451171875,232.27230834960938,234.8501434326172,231.76499938964844,,,,,252.71942138671875,249.80145263671875,249.0684051513672,247.55099487304688,248.74114990234375,250.44442749023438,252.47120666503906,249.77220153808594,,,,,61.51172637939453,57.87775421142578,56.653018951416016,54.56631088256836,57.03559494018555,60.489192962646484,63.702693939208984,58.67563247680664,144.72120666503906,-16.041873931884766,27.9843692779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.362455368041992,-0.9532572031021118,-28.243200302124023,39.38835906982422,-14.214944839477539,8.966875076293945,9.253731727600098,-0.7347008585929871,-0.22460591793060303,-0.7352287769317627,-0.9294184446334839,-0.026888979598879814,-0.04102039709687233,-0.38704535365104675,-5.974160194396973,16.75132942199707,7.628082275390625,-0.04293384775519371,3.1166088581085205,0.31546100974082947,-2.7210500240325928,-2.8295366764068604
2023-04-04,,,,,,,229.4034423828125,226.10696411132812,224.76271057128906,223.5738525390625,225.42994689941406,230.04183959960938,233.177734375,,,,,,217.39599609375,215.1876220703125,213.80677795410156,212.16268920898438,213.3416290283203,217.0121612548828,219.34585571289062,,,,,,235.4249267578125,233.23486328125,232.64356994628906,232.44955444335938,233.3548583984375,236.32098388671875,238.65892028808594,,,,,,60.129730224609375,56.83325958251953,55.488990783691406,54.30015563964844,56.156246185302734,60.768131256103516,63.9040412902832,144.72689819335938,-16.766576766967773,12.20516586303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.10822868347168,-0.7901825308799744,-32.98552703857422,44.70374298095703,-15.325488090515137,10.570920944213867,11.848971366882324,-0.7871795296669006,0.0,0.0,-1.2549289464950562,0.0,-0.020510198548436165,-1.1146906614303589,-17.752195358276367,18.497608184814453,7.7975945472717285,-0.05198121443390846,9.34982681274414,0.4065566956996918,-1.9400078058242798,-2.0443062782287598
2023-04-05,,,,,,,,227.80564880371094,223.57373046875,223.33087158203125,221.66453552246094,224.35330200195312,229.15451049804688,,,,,,,218.6962127685547,215.24563598632812,214.78163146972656,213.14239501953125,215.53184509277344,218.92323303222656,,,,,,,232.990478515625,230.0777130126953,230.56240844726562,229.87681579589844,231.3692169189453,234.65774536132812,,,,,,,59.51491165161133,55.28300476074219,55.04014205932617,53.37379837036133,56.062564849853516,60.863765716552734,144.73257446289062,-17.427282333374023,8.832134246826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1533088684082,-1.043412208557129,-34.777076721191406,44.15857696533203,-14.825743675231934,10.360554695129395,13.316986083984375,-0.8396581411361694,-0.7759113311767578,-2.206568956375122,-1.2891932725906372,0.0,0.0,-0.1702999621629715,-2.951603889465332,18.820993423461914,7.825847148895264,-0.052803706377744675,1.5583044290542603,0.3643827438354492,-2.5446858406066895,-2.7753827571868896
2023-04-06,,,,,,,,,230.87680053710938,227.76953125,226.5496063232422,225.20814514160156,227.96746826171875,,,,,,,,220.89476013183594,218.55010986328125,216.99412536621094,216.23831176757812,218.27743530273438,,,,,,,,236.6062774658203,234.67564392089844,234.19781494140625,232.99191284179688,235.0112762451172,,,,,,,,58.866458892822266,55.759193420410156,54.53925323486328,53.19779968261719,55.95712661743164,144.73825073242188,-18.022615432739258,7.094995021820068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.199710845947266,-1.0036379098892212,-38.88709259033203,53.01755142211914,-19.101333618164062,12.043486595153809,13.002411842346191,-0.8746438026428223,-0.49004927277565,-2.206568956375122,-1.0493433475494385,0.0,0.0,-0.13417573273181915,-1.787990927696228,21.602102279663086,9.068942070007324,-0.061357565224170685,1.5583044290542603,0.4048697352409363,-3.300532817840576,-3.6012282371520996
2023-04-07,,,,,,,,,,202.97412109375,198.99530029296875,198.4355926513672,196.89865112304688,,,,,,,,,200.04324340820312,196.59249877929688,196.14349365234375,195.42068481445312,,,,,,,,,206.59506225585938,203.65536499023438,203.28195190429688,202.75393676757812,,,,,,,,,59.619083404541016,55.6402702331543,55.080562591552734,53.543617248535156,144.74392700195312,-18.551599502563477,6.941488742828369,-16.56128692626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.56128692626953,0.0,0.0,0.0,0.0,0.0,26.78249740600586,-0.6841177940368652,-27.294734954833984,43.47711944580078,-14.159418106079102,9.624271392822266,6.737136363983154,-0.9621083736419678,0.0,0.0,-1.8588368892669678,0.0,0.0,-1.171457290649414,-18.53266716003418,18.10954475402832,7.486820220947266,-0.048033274710178375,12.466435432434082,0.4065566956996918,-3.266939401626587,-3.547074794769287
2023-04-08,,,,,,,,,,,193.09127807617188,190.17813110351562,189.394775390625,,,,,,,,,,179.9176025390625,177.79776000976562,177.53164672851562,,,,,,,,,,197.1783447265625,195.30946350097656,195.25704956054688,,,,,,,,,,59.36111831665039,56.4479866027832,55.664615631103516,144.74960327148438,-19.013639450073242,-29.45224952697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44643783569336,-1.3258097171783447,-27.927045822143555,47.83845901489258,-16.54708480834961,11.070541381835938,6.553635120391846,-1.032079815864563,0.0,0.0,-1.554741382598877,0.0,0.0,-0.8360180258750916,-13.502169609069824,18.43292999267578,7.995359420776367,-0.05017174407839775,9.34982681274414,0.4065566956996918,-0.789440393447876,-0.6363072991371155
